S21_norm_1,S21_norm_2,S21_norm_3,S21_norm_4,S21_norm_5,S21_norm_6
0.0871089668004226,0.0648108131447184,0.116434978299424,0.0828378695906939,0.0506651083379878,0.0888829953295203
0.0854650997131408,0.0478345937546701,0.107464458230249,0.0761816367805175,0.0788859890509011,0.0603428250444603
0.0867769267376249,0.0680330956647601,0.104749690730976,0.0789158856517772,0.104196911342482,0.0131808329968782
0.0773218138007655,0.0891386555986608,0.0523270514600562,0.0616297752180108,0.0969932249336088,0.0517053356885645
0.0793707827945057,0.0625661588168758,0.0356295737474253,0.0846163433315715,0.104769307458727,0.0934749858297998
0.0651464336695104,0.0600688784567123,0.072169165555496,0.0934811601134743,0.0998136406943771,0.0878688173373618
0.0550831024810004,0.0891395915683999,0.0850029802694993,0.0337075294394384,0.0984446373804876,0.0839473094190217
0.0610471381673169,0.0462590407940402,0.0987584161888193,0.0125362471112484,0.0840252156070216,0.0946504690076947
0.0831580106332429,0.0298655503137216,0.0686453089365266,0.0194846592071935,0.0223562274837693,0.103432255495003
0.0818498457414733,0.0688312672589895,0.0212407534705746,0.0131446167304241,0.00512936408401085,0.0687435470446781
0.0882638760301095,0.0760426742562242,0.0679190994216258,0.0746029777075659,0.0546864943168853,0.0116757396870147
0.0616261397175311,0.0788178908304024,0.0790474360458546,0.0897969369459715,0.0442230071172283,0.0441855361475937
0.0689630303202121,0.0864624529232537,0.00660771462492894,0.0314486226196548,0.0638014685825342,0.0920046326447836
0.0825548235090597,0.0899563538615715,0.0375267799896249,0.0626629927079515,0.0896496035737434,0.0862896227268395
0.0277613165134952,0.0932647416977331,0.110496378350538,0.101905700927064,0.052418618272887,0.0852668380799801
0.034166702332119,0.0458622676221557,0.101752211690902,0.0647697071788931,0.0639791428396582,0.0932534467138671
0.0745958037164312,0.0192131890163458,0.0992971336199846,0.0611315561778913,0.0880300581916701,0.07112137229267
0.0799823101676451,0.0656372159262023,0.072946944602269,0.0685946352487294,0.0376853362620598,0.0725196696985222
0.0826042364706148,0.0852214447964192,0.020791361835688,0.0340939580022428,0.0215253304324439,0.0802485805822215
0.0937735575689705,0.0899478170375764,0.0847580249931062,0.0280906494599517,0.0704807716590762,0.019756813455821
0.0431101958127055,0.0864056590594621,0.11141984132485,0.0562628777392488,0.06576292242702,0.0222777169574686
0.0725445157546399,0.0321419925138271,0.056693885748237,0.0979364210169756,0.0739848911933108,0.076957541752502
0.0958406248455454,0.0466760894103971,0.0445310274792714,0.10306586775484,0.0946212180237178,0.0842325577429067
0.061743063923476,0.0931705811920464,0.0686664892799741,0.0481347587342861,0.0978074354874962,0.0887070411169979
0.0466422998556878,0.0435421195351099,0.0829400148177105,0.0476006985347123,0.0902047324598406,0.107322625093354
0.0637207102995938,0.015844280986869,0.0589502369445468,0.0653423824951748,0.0360399474424407,0.0945310358578312
0.0809590520487594,0.060585580551162,0.019113510280845,0.0466061043201772,0.0162302112557634,0.0917027670947364
0.0698336679329469,0.0720441822818928,0.0776747656135555,0.0756894714941689,0.0712127078632104,0.0664737590721613
0.0472970667989491,0.0766421589742201,0.102951019130032,0.075381496969451,0.0866058203747933,0.0412523637636021
0.0738133385498192,0.0792767714442846,0.0342460368780531,0.0106159670438337,0.0961992268731777,0.0676080028496972
